{_id: ObjectId('80f3e2014d9bde871a9f13b6f026eba7e7361355'), Hora: '2024-04-16 20:07:52.079', SalaOrigem: 9, SalaDestino: 4}
{_id: ObjectId('62d06fc69b0238beb7154916d9cecd60f4e1084a'), Hora: '2024-04-16 20:07:52.085', SalaOrigem: 8, SalaDestino: 9}
{_id: ObjectId('305c15e95ec87d78eda08527206fe29024260636'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 1, SalaDestino: 8}
{_id: ObjectId('14234c1c392a12ba8436dfa0509f315c9f6df8dd'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 8, SalaDestino: 9}
{_id: ObjectId('565d615854371e7da1c963205a3402fe8b0c538a'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 6, SalaDestino: 7}
{_id: ObjectId('86cea056be9112e817205a43e1db2447ecefd88'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 8, SalaDestino: 2}
{_id: ObjectId('1e1a8417df4e002d833831139ab4ca0f43ef4eaa'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 3, SalaDestino: 9}
{_id: ObjectId('6e77fc5d8d4d04ea0addbb2ca173d6fc761bc4'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 3, SalaDestino: 8}
{_id: ObjectId('7f9c22f1304305a11e730b043b13620a964d32f'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 10, SalaDestino: 8}
{_id: ObjectId('48dcbc595e26638f3d8ec89c7c36030d9d35a949'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 5, SalaDestino: 9}
{_id: ObjectId('ae8e73e9d2b3dc1ce51871e9c6c896cec884d4f3'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 6, SalaDestino: 7}
{_id: ObjectId('a05d98b3eb86a5a6dc54897129882629f6f4dc11'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 7, SalaDestino: 7}
{_id: ObjectId('d90695ceda209fc681e5e2ef2f315cf629ff00e'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 9, SalaDestino: 8}
{_id: ObjectId('488e3616c68e88899c5c4183e9a6aca4bca85a55'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 5, SalaDestino: 7}
{_id: ObjectId('441c58a813b1d6ee35f56032c6c3eab4c9b9f8d9'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 6, SalaDestino: 7}
{_id: ObjectId('1dc8b5681ffb656c8f468a64d7973f3df98eca8e'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 10, SalaDestino: 7}
{_id: ObjectId('ca8bb17e31e0ec694750c46453596367b0c88bed'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 10, SalaDestino: 3}
{_id: ObjectId('10c543d41e974cc465c183e430bf2ff0d4b16374'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 8, SalaDestino: 8}
{_id: ObjectId('d60be99ac0dbaa4ca61f876a97e7baa48b59e24'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 6, SalaDestino: 9}
{_id: ObjectId('8735aac384d5564622f6e4145d2049fa75a87c01'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 10, SalaDestino: 10}
{_id: ObjectId('41cd2e85255a89ebaf130398917a495b83260c96'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 3, SalaDestino: 1}
{_id: ObjectId('5a64dfdd3621f0e7c79e0745c069a1d9e3a41b6e'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 9, SalaDestino: 2}
{_id: ObjectId('177a22093dab03dcd6121b3c3ba9139794042c9c'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 7, SalaDestino: 1}
{_id: ObjectId('fcda950cf0e732dd25b2000830dc6549f7b88934'), Hora: '2024-04-16 20:07:52.086', SalaOrigem: 1, SalaDestino: 8}
{_id: ObjectId('cfbd6a2d99eddff33f39b313c12b22bb8ace5bcf'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 10, SalaDestino: 9}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('d245299b4dcba72e3104ab48bb6edd0b1d08e1b7'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 9, SalaDestino: 6}
{_id: ObjectId('80898546221c8d0d6de790631ca99009cc672088'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 2, SalaDestino: 5}
{_id: ObjectId('787e29d8471fabc949464412cc998eee182ebc67'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 8, SalaDestino: 3}
{_id: ObjectId('33d04a2a1b5c95cd0e3176d5837e762aa59f915'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 9, SalaDestino: 7}
{_id: ObjectId('d9171f89320a3281e3d89249f6d071488c2940a'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 4, SalaDestino: 10}
{_id: ObjectId('2ddac434c3cf671cfeae3f73c333833c0abc6ef'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 3, SalaDestino: 10}
{_id: ObjectId('1fabdde1bdc518de20f42d3bb7dc2df6179a1a24'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 6, SalaDestino: 7}
{_id: ObjectId('47961838581e20fc3b93635c69cba116cf63073b'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 6, SalaDestino: 5}
{_id: ObjectId('2a776f573b719ebbf5ea0c553338fc4f9e9e6b7b'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 6, SalaDestino: 6}
{_id: ObjectId('64a4c8f15e3efa08b14396bca18e339e3ca5e'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 4, SalaDestino: 5}
{_id: ObjectId('7990659e9586dcd0eff1fbae3b190b162d7d6013'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 6, SalaDestino: 9}
{_id: ObjectId('58bc8dc5d871787a5341566d4b76feb3527b03fc'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 10, SalaDestino: 6}
{_id: ObjectId('a5d929ad8693a16e3be299c43a7e2385dd4edb31'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 1, SalaDestino: 3}
{_id: ObjectId('fc8195381372c60ff2e13b136c44a9dfdf5ddafc'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 3, SalaDestino: 4}
{_id: ObjectId('b4a44bb9672af1269a1b1e52ee42cf15182e1b5b'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 4, SalaDestino: 2}
{_id: ObjectId('a533e279b2d8725fe0a0548ae73dfa011e1cf982'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 1, SalaDestino: 10}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('4c5e16cac2dc2a57a9cae77f39c70a56dd2a66b4'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 5, SalaDestino: 6}
{_id: ObjectId('ca89f15a6861866ddf38e6f0ca8bdcf28d49090d'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 7, SalaDestino: 10}
