{_id: ObjectId('c265407e5d78ae494b9fbb4327b8e889974e813e'), Hora: '2024-04-16 20:07:51.938', Leitura: 13.951813, Sensor: 2}
{_id: ObjectId('c5570716bf7ae196e1e99d4faca6b4693e8d0626'), Hora: '2024-04-16 20:07:51.944', Leitura: 13.964863, Sensor: 1}
{_id: ObjectId('9f47c6313c0a46d2e011b5892cfa5f6ac9a620f'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.446689, Sensor: 2}
{_id: ObjectId('73d2ad1a23092177825f47b547e10aaa96347504'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.9165535, Sensor: 1}
{_id: ObjectId('6f106796a915e0c07a245255d08afdd133026aa3'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.5178795, Sensor: 1}
{_id: ObjectId('1a59588819375a32c0502ccc5d2fb36d246965c6'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.762343, Sensor: 1}
{_id: ObjectId('a6d83714'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('8a4e80cc7a007267a5eca6f7144856ec2bda37e'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.410313, Sensor: 2}
{_id: ObjectId('e36304cfed01a8f7d57378fec5f6b272eaff927c'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.249726, Sensor: 1}
{_id: ObjectId('ece8dcf3fb990afa196304b286537e3bbe504b9'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.5359535, Sensor: 1}
{_id: ObjectId('b5b53f0aa50ab594e2b8130d36e7fe888519c7ee'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.129282, Sensor: 1}
{_id: ObjectId('7cb39982b25f27ac83833be82c621def921f6607'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.791319, Sensor: 1}
{_id: ObjectId('e5b404d562d820218d5174067faec87edd29294'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.861308, Sensor: 1}
{_id: ObjectId('5d7274ae963c3f2ac05ba6daaa142caab5790545'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.631048, Sensor: 1}
{_id: ObjectId('3a1d10f4d0978c606a1a645bac95eadef1cd9ce8'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.789612, Sensor: 2}
{_id: ObjectId('829a04cca4a342e3754bf0e7797e0f20bd6713bd'), Hora: '2024-04-16 20:07:51.945', Leitura: 13.447946, Sensor: 1}
{_id: ObjectId('be5551c128fd5943f47711f4138595fbd90d3ca2'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.900401, Sensor: 1}
{_id: ObjectId('1d16454624785e2ff627a57f3a55c685d47894b'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.041538, Sensor: 1}
{_id: ObjectId('17c9b17bf85fa7dc92567453f123dd3bb349e998'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.932323, Sensor: 2}
{_id: ObjectId('2f5f0127a0f71f41131c388afdd57cfbb45f1f0'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.713477, Sensor: 1}
