{_id: ObjectId('ab092b698a38630fffdb599c41eb05fb727d44f7'), Hora: '2024-04-16 18:25:34.719', SalaOrigem: 6, SalaDestino: 5}
{_id: ObjectId('f845f7059eb2e7fcfccc702f7027318cf6d1821'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 7, SalaDestino: 7}
{_id: ObjectId('108ec9d8a6b60e9b2b8c7a10565f8c1d35ca9f8f'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 10, SalaDestino: 8}
{_id: ObjectId('6b9fde92fea1ea4ee9b67a5a63180f20fac52b6d'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 5, SalaDestino: 8}
{_id: ObjectId('2f3d387a5acbed798b6c80da7b1bdada2aef49bb'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 4, SalaDestino: 4}
{_id: ObjectId('af23a1e963c24607af210c947072df2ab5b12ccc'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 9, SalaDestino: 8}
{_id: ObjectId('e1aafacd8fee49e3db3a3e3fe5189d92653161c9'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 10, SalaDestino: 1}
{_id: ObjectId('ff3d7274167f380f8f8dac4799739b83d2dd72c'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 10, SalaDestino: 4}
{_id: ObjectId('49ba6d8d770c6e52834d1dc3c419e7f07f3345'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 10, SalaDestino: 7}
{_id: ObjectId('4e28d5a97029b353ab835c0d540178b9a407ab9'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 1, SalaDestino: 2}
{_id: ObjectId('ac4296b77a51357f48f2762b1f9d3fb9ccd506fd'), Hora: '2024-04-16 18:25:34.732', SalaOrigem: 9, SalaDestino: 8}
{_id: ObjectId('d6c3860bc1239e5824161ad6d64c23a45646ccdf'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 7, SalaDestino: 2}
{_id: ObjectId('c88bf58960279a6210bed97d2b2b929ceb6f2fe'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 6, SalaDestino: 9}
{_id: ObjectId('9ff4322b26fdb5a8564204c210ecb4422dab84d'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 1, SalaDestino: 9}
{_id: ObjectId('48a1527f7883483617d364fd4305fa99d1beaa94'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 1, SalaDestino: 4}
{_id: ObjectId('e4b555266db6729cca72bab737054dec824a2cef'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 6, SalaDestino: 3}
{_id: ObjectId('27748f57ed6d2a7249171130d8d252a9ea3d4e4d'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 8, SalaDestino: 8}
{_id: ObjectId('3cba6b59ba3156cec301e0dba9efcd5dbda2eff2'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 3, SalaDestino: 1}
{_id: ObjectId('29d7770c8fd3fccf936401dd42b7fa3a82f13bf5'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 4, SalaDestino: 4}
