{_id: ObjectId('ca6b0cc71cf3de97f20d57888e4ca077ef8c3d10'), Hora: '2024-04-16 18:25:34.444', Leitura: 13.454379, Sensor: 1}
{_id: ObjectId('cce7f8978837fd7894b27062812748b0b44ac8e'), Hora: '2024-04-16 18:25:34.454', Leitura: 13.183256, Sensor: 2}
{_id: ObjectId('a2eb7704add35e9b819d90d6aba67fae46b4e5b4'), Hora: '2024-04-16 18:25:34.454', Leitura: 13.016926, Sensor: 1}
{_id: ObjectId('1409f7c0b6f52bf0a9557a6a4bd3dfc2c1a7c6bc'), Hora: '2024-04-16 18:25:34.454', Leitura: 13.416777, Sensor: 1}
{_id: ObjectId('51fb4254df34dd568c0ba51ee3ac2cb9426d8d3'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.824459, Sensor: 1}
{_id: ObjectId('71168d96db0a148e30b4a311661ebaa07534d84f'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.199143, Sensor: 1}
{_id: ObjectId('20f2f45bf9a0076e42f0b3f542b0fbb764a75109'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.345188, Sensor: 2}
{_id: ObjectId('414a6d7b680c11b6fb308861198b4c0f3c4ddd5b'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.869539, Sensor: 1}
{_id: ObjectId('7018cee7bd2660a8c127377173d8853a96f42266'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.054857, Sensor: 1}
{_id: ObjectId('6f96babde19c6f38b8324efdb742c44637c95e65'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.641395, Sensor: 1}
{_id: ObjectId('3747dd2f3f8c4dfa16fdaac4a704e16b0bcf9e6'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.921806, Sensor: 2}
{_id: ObjectId('2079801246bacf0d818bb152d34aabc140bccad1'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.244198, Sensor: 2}
{_id: ObjectId('8077f93f33ee9be0626e066895eda2b5b713472e'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.799882, Sensor: 2}
{_id: ObjectId('46067899481c8e45f8b75d16202acf66c359fa7'), Hora: '2024-04-16 18:25:34.455', Leitura: 13.437219, Sensor: 1}
{_id: ObjectId('984b3fc5f98cff2b9e8e2a2bd4101fd477758125'), Hora: '2024-04-16 18:25:34.456', Leitura: 13.206592, Sensor: 2}
{_id: ObjectId('55c44260595e95a2a637ca4b26bd9bc25711eb26'), Hora: '2024-04-16 18:25:34.456', Leitura: 13.449475, Sensor: 1}
{_id: ObjectId('aae162959adb1ddca3a7ec8df4f1e79aef53d470'), Hora: '2024-04-16 18:25:34.456', Leitura: 13.950616, Sensor: 2}
{_id: ObjectId('7a4a24f2'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('6e94eb2b547e46f6f331c337675946ce56a744c'), Hora: '2024-04-16 18:25:34.460', Leitura: 13.827627, Sensor: 1}
{_id: ObjectId('22c8a3ec387d02d88cb85d69b693c59921e1137'), Hora: '2024-04-16 18:25:34.460', Leitura: 13.226966, Sensor: 1}
{_id: ObjectId('b9b4cafed1a7e008be39d72ffa6ed5e75f77cd8'), Hora: '2024-04-16 18:25:34.461', Leitura: 100.0, Sensor: 1}
{_id: ObjectId('7d5b7e335d97240cd8195d16a015d599d805221c'), Hora: '2024-04-16 18:25:34.461', Leitura: 13.423399, Sensor: 1}
{_id: ObjectId('e83aa4d24606e667835a90309c46a10ca43c9926'), Hora: '2024-04-16 18:25:34.461', Leitura: 13.194222, Sensor: 1}
{_id: ObjectId('cf8edaabc83e48bfe3c8dcac1919076584d1e427'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.1325245, Sensor: 2}
{_id: ObjectId('4ea366b5b287a942bd3bf5b26604a595a86bd7b'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.494127, Sensor: 2}
{_id: ObjectId('cff930daafbcc988d91889ab70f7bc4c48d2e1f5'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.995518, Sensor: 2}
{_id: ObjectId('8d0b1f58c2b3dc1db5dfb46333d9d8a34c73251a'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.47375, Sensor: 2}
{_id: ObjectId('b633df03db52f6c514f51890aea44e327cfefdac'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.640415, Sensor: 2}
{_id: ObjectId('f872938daa0f0266faba5d92333b654398d1a0cc'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.90373, Sensor: 1}
{_id: ObjectId('3b8b6d0833547b1e3616a8add504b533cd9604'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.042623, Sensor: 2}
{_id: ObjectId('65ee5d3875fb3642d6c12f443cb2ec6eddaf7f38'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.840366, Sensor: 1}
{_id: ObjectId('f5983198456108770999f9794e98685f7a75bf4'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.014982, Sensor: 1}
{_id: ObjectId('dc0d6ee1953029acc325ab914955226e969e4557'), Hora: '2024-04-16 18:25:34.462', Leitura: 13.620869, Sensor: 1}
{_id: ObjectId('f4f0b31922ec7c6c6a0684f4e2f621f7a3109b63'), Hora: '2024-04-16 18:25:34.463', Leitura: 13.18535, Sensor: 2}
{_id: ObjectId('6bdbbc9ca6946ac0f471d1e0ac85e55f1bcf6c8c'), Hora: '2024-04-16 18:25:34.463', Leitura: 13.389387, Sensor: 1}
{_id: ObjectId('e58d1ded21e9a7cb6b9e991cb39f4ae823f2302f'), Hora: '2024-04-16 18:25:34.463', Leitura: 13.670872, Sensor: 2}
{_id: ObjectId('37d5b805fa089967b68a1106d2c5cb302081e8a4'), Hora: '2024-04-16 18:25:34.463', Leitura: 13.075891, Sensor: 2}
{_id: ObjectId('d591299227f9cb3356e780a7ffed111a25c1fd48'), Hora: '2024-04-16 18:25:34.463', Leitura: 13.542453, Sensor: 1}
{_id: ObjectId('7665886c71fcf6bde766d692f76009cd8bc2e753'), Hora: '2024-04-16 18:25:34.463', Leitura: 13.034857, Sensor: 1}
{_id: ObjectId('2a8b62c0cf509c0e54cb9a262d71a9bd858b61b3'), Hora: '2024-04-16 18:25:34.464', Leitura: 13.581005, Sensor: 1}
{_id: ObjectId('c89d8567f462ae1f0669ecc6185ca56baa26be9'), Hora: '2024-04-16 18:25:34.464', Leitura: 13.607559, Sensor: 1}
{_id: ObjectId('b22d4f52c437afa31faa4210e2fa3fc0973e67aa'), Hora: '2024-04-16 18:25:34.464', Leitura: 13.921805, Sensor: 1}
{_id: ObjectId('18b0c95d9e445c1c19676a35f5ba009752076d4c'), Hora: '2024-04-16 18:25:34.464', Leitura: 13.073261, Sensor: 2}
{_id: ObjectId('15150b1a9c6a9638b125890b21b16a132f8a543f'), Hora: '2024-04-16 18:25:34.465', Leitura: 13.437025, Sensor: 2}
{_id: ObjectId('af7b82c9b7584a7879a8d08dbfc9d21b33d3c182'), Hora: '2024-04-16 18:25:34.465', Leitura: 13.099007, Sensor: 2}
{_id: ObjectId('47e99f52fe5ddf588886cf7c496b41675c16223'), Hora: '2024-04-16 18:25:34.465', Leitura: 13.870111, Sensor: 2}
{_id: ObjectId('2b7a4e48691c254183705e9cabaf0488b584b94d'), Hora: '2024-04-16 18:25:34.465', Leitura: 13.633334, Sensor: 2}
{_id: ObjectId('baa0f0c8aa8158cbc6b5959606ee3b61c71e082'), Hora: '2024-04-16 18:25:34.465', Leitura: 13.660832, Sensor: 1}
{_id: ObjectId('8eefa28e'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('2a6fe1319034a7a5e4b615b159e338b514b59ca0'), Hora: '2024-04-16 18:25:34.466', Leitura: 13.648964, Sensor: 1}
{_id: ObjectId('95a1ea0e349937169b3786006a8e6f418729626b'), Hora: '2024-04-16 18:25:34.466', Leitura: 18.382236, Sensor: 2}
{_id: ObjectId('e2710bfc94cefc1754c24213d72eebbde5ea59cb'), Hora: '2024-04-16 18:25:34.466', Leitura: 14.0, Sensor: 2}
{_id: ObjectId('ec6203f28bf2fe865d8a82ddabac53bb2e352b45'), Hora: '2024-04-16 18:25:34.467', Leitura: 14.5, Sensor: 2}
{_id: ObjectId('f943438f80559b8cecff06073933e454ce4862d9'), Hora: '2024-04-16 18:25:34.467', Leitura: 15.0, Sensor: 2}
{_id: ObjectId('12f6c0ebf330ae9bd856b721a68f19cba2aa2b13'), Hora: '2024-04-16 18:25:34.467', Leitura: 15.5, Sensor: 1}
{_id: ObjectId('3f870246536d2da95dd95ce0b1939fc0e08c1'), Hora: '2024-04-16 18:25:34.467', Leitura: 16.0, Sensor: 1}
{_id: ObjectId('41f67fdbc5c025a35943d80fc66d770a97e45f77'), Hora: '2024-04-16 18:25:34.467', Leitura: 16.5, Sensor: 2}
{_id: ObjectId('f784a5b430dcd9053c22a73324b4d7c74a6060c'), Hora: '2024-04-16 18:25:34.467', Leitura: 17.0, Sensor: 1}
{_id: ObjectId('2f3c7ad9a537964364e1b3e831bca323174deb1b'), Hora: '2024-04-16 18:25:34.467', Leitura: 17.5, Sensor: 1}
